全国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
乌海,0.0154,0.015925,,0.019266667,0.017,,0.0114,0.018,,0.030841667,0.01504,0.0066,0.062470588,0.0203,0.019007692,0.0223,0.0116,,0.0289125,0.01505,0.018,0.01772,0.0128,0.005,0.382634114,,,,,
乌兰察布,0.0159,0.01898,0.0152,0.03605625,0.019211111,,0.0165,,,0.027275,0.0196,0.0121,0.075429412,0.021,0.029484615,0.0126,0.0188,,0.020155556,0.02122,,0.017071429,0.022025,0.0171,0.435708372,,,,,
锡林郭勒盟,0.015633333,0.014325,,0.020773333,0.01546,,,0.015575,0.0102,0.02516,0.031525,0.0136,0.054417647,0.0072,0.015666667,0.0162,,0.015,0.021366667,0.0128,,0.0188,0.03325,0.012,0.368952647,,,,,
兴安盟,0.011625,0.00795,0.0066,0.034707143,0.011991667,,0.010866667,0.010957143,,0.018946154,0.0145125,0.006825,0.041817647,0.01042,0.01261,0.008814286,0.011,,0.0078,0.009057143,,0.007366667,0.01425,,0.258117015,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,阿拉善盟,巴彦淖尔,包头,赤峰,鄂尔多斯,呼和浩特,呼伦贝尔,通辽,乌海,乌兰察布,锡林郭勒盟,兴安盟,全省,,,,,,,,,,,,,,,,,
安庆市,,,,,,,,,0.0093,,0.0058,,0.0151,,,,,,,,,,,,,,,,,
常州市,0.01354,0.0197,0.044621429,0.059863636,0.031066667,0.057028571,0.025375,0.042857143,0.011777778,0.0121,0.008325,0.01545,0.341705224,,,,,,,,,,,,,,,,,
滁州市,0.0063,,,,,,,,0.006,,,,0.0123,,,,,,,,,,,,,,,,,
杭州市,0.01655,0.037235294,0.187911765,0.159911765,0.088535294,0.361694118,0.099805882,0.121652941,0.02434375,0.049864706,0.019617647,0.044935294,1.212058456,,,,,,,,,,,,,,,,,
合肥市,0.013342857,0.01752,0.0686,0.078971429,0.048133333,0.134029412,0.032428571,0.04424,0.0175,0.026585714,0.0145,0.016481818,0.512333135,,,,,,,,,,,,,,,,,
湖州市,,,0.0355,,,,0.0155,0.0324,0.0132,0.0094,0.0096,,0.1156,,,,,,,,,,,,,,,,,
嘉兴市,,0.01858,0.042558333,0.05518,0.0318,0.057633333,0.028925,0.043921429,0.006675,0.015766667,0.0114,0.02308125,0.335521012,,,,,,,,,,,,,,,,,
金华市,0.0061,0.0139,0.0327,0.049466667,,0.05356875,0.030486667,0.039435714,0.00615,0.0151,0.010618182,0.015142857,0.272668837,,,,,,,,,,,,,,,,,
马鞍山市,,,,,,,,0.0108,,0.0219,,,0.0327,,,,,,,,,,,,,,,,,
